SampleName	Topt	Group
Vibrio_splendidus_strain_Vibrio_sp	20	group1
Nocardioides_aquaticus_strain_KCTC_9944	21	group1
Sulfurimonas_denitrificans_DSM_1251_strain_DSM_1251	21	group1
Flavobacterium_branchiophilum_FL15_strain_FL15	21.5	group1
Pseudomonas_alkylphenolica_strain_KL28	21.5	group1
Aeromonas_media_strain_Colony414	22	group1
Francisella_philomiragia_strain_18844	22	group1
Francisella_philomiragia_strain_GA012794	22	group1
Francisella_philomiragia_strain_GA012801	22	group1
Francisella_philomiragia_strain_O319029	22	group1
Francisella_philomiragia_strain_O319036_FSC_153	22	group1
Francisella_philomiragia_strain_O319067	22	group1
Francisella_philomiragia_subsp_philomiragia_ATCC_25015_strain_O319L	22	group1
Francisella_philomiragia_subsp_philomiragia_ATCC_25017_strain_ATCC_25017	22	group1
Oenococcus_oeni_strain_19	22	group1
Psychrobacter_arcticus_2734_strain_2734	22	group1
Psychrobacter_cryohalolentis_K5_strain_K5	22	group1
Rhodoluna_limnophila_strain_1BMac	22	group1
Rhodoluna_limnophila_strain_27DLEPI	22	group1
Rhodoluna_limnophila_strain_36AHELLB	22	group1
Thalassospira_xiamenensis_M5___DSM_17429_strain_M5	22	group1
Arthrobacter_alpinus_strain_A3	22.5	group1
Brochothrix_thermosphacta_strain_BI	22.5	group1
Halioglobus_pacificus_strain_RR357	22.5	group1
Methylomonas_paludis_strain_S2AM	22.5	group1
Microterricola_viridarii_strain_ERGS53A02	22.5	group1
Paenibacillus_donghaensis_strain_KCTC_13049	22.5	group1
Pseudomonas_silesiensis_strain_A3	22.5	group1
Rhizobacter_gummiphilus_strain_NS21	22.5	group1
Shewanella_japonica_strain_KCTC_22435	22.5	group1
Sulfitobacter_mediterraneus_strain_SC111	22.5	group1
Thalassolituus_oleivorans_R615_strain_R615	22.5	group1
Entomoplasma_melaleucae_strain_M1	23	group1
Mesoplasma_syrphidae_strain_YJS	23	group1
Paenibacillus_xylanexedens_strain_PAMC_22703	23	group1
Streptomyces_lunaelactis_strain_MM109	23	group1
Chitinophaga_pinensis_	23.5	group1
Pseudoalteromonas_aliena_strain_EH1	23.5	group1
Pseudoalteromonas_prydzensis_ACAM_620_strain_ACAM_620	23.5	group1
Phaeobacter_porticola_strain_P97	24	group1
Pseudoalteromonas_agarivorans_strain_Hao_2018	24	group1
Pseudomonas_mucidolens_strain_LMG_2223	24	group1
Aeromicrobium_marinum_DSM_15272_strain_DSM_15272	25	group1
Bacillus_lehensis_G1_strain_G1	25	group1
Brachybacterium_ginsengisoli_strain_DCY80	25	group1
Caulobacter_mirabilis_strain_FWC_38	25	group1
Chryseobacterium_cucumeris_strain_MW6	25	group1
Cyclobacterium_marinum_DSM_745_strain_DSM_745	25	group1
Deinococcus_actinosclerus_strain_Deinococcus_actinosclerus_SJTR	25	group1
Delftia_lacustris_strain_FDAARGOS_890	25	group1
Desulfosporosinus_youngiae_DSM_17734_strain_DSM_17734	25	group1
Echinicola_strongylocentroti_strain_MEBiC08714	25	group1
Flavisolibacter_tropicus_strain_LCS9	25	group1
Flavobacterium_arcticum_strain_SM1502	25	group1
Flavobacterium_crassostreae_strain_LPB0076	25	group1
Flavobacterium_kingsejongi_strain_WV39	25	group1
Flavobacterium_sangjuense_strain_GS03	25	group1
Glaciecola_nitratireducens_FR1064_strain_FR1064	25	group1
Hymenobacter_sedentarius_strain_DG5B	25	group1
Lacinutrix_venerupis_strain_DOK28	25	group1
Lactobacillus_hokkaidonensis_JCM_18461_strain_LOOC260	25	group1
Methylocystis_heyeri_strain_H2	25	group1
Mucilaginibacter_gotjawali_strain_SA37	25	group1
Mucilaginibacter_mallensis_strain_MP1X4	25	group1
Muricauda_ruestringensis_DSM_13258_strain_DSM_13258	25	group1
Nakamurella_panacisegetis_strain_P47KCTC_19426CECT_7604	25	group1
Nitrosospira_lacus_strain_APG3	25	group1
Nocardioides_baekrokdamisoli_strain_KCTC_39748	25	group1
Nocardioides_dokdonensis_FR1436_strain_FR1436	25	group1
Paenibacillus_baekrokdamisoli_strain_KCTC_33723	25	group1
Paenibacillus_crassostreae_strain_LPB0068	25	group1
Pannonibacter_phragmitetus_strain_31801	25	group1
Paraburkholderia_caffeinilytica_strain_CF1	25	group1
Pedobacter_ginsengisoli_strain_T01R27	25	group1
Phaeobacter_gallaeciensis_strain_JL2886	25	group1
Planococcus_faecalis_strain_AJ003	25	group1
Planococcus_halocryophilus_strain_DSM_24743	25	group1
Polaribacter_sejongensis_strain_KCTC_23670	25	group1
Polaribacter_vadi_strain_LPB0003	25	group1
Pseudoalteromonas_arabiensis_strain_LST1	25	group1
Pseudoalteromonas_lipolytica_LMEB_39_strain_LMEB_39	25	group1
Pseudoalteromonas_luteoviolacea_DSM_6061_strain_CH130	25	group1
Pseudoalteromonas_paragorgicola_KMM_3548_strain_KMM_3548	25	group1
Pseudoalteromonas_translucida_KMM_520_strain_KMM_520	25	group1
Pseudoalteromonas_undina_strain_DSM_6065	25	group1
Pseudoalteromonas_xiamenensis_strain_STKMTI2	25	group1
Pseudodesulfovibrio_profundus_strain_5001	25	group1
Pseudomonas_lundensis_strain_2T252	25	group1
Pseudomonas_pelagia_strain_Kongs67	25	group1
Pseudomonas_psychrophila_strain_KM02	25	group1
Roseobacter_ponti_strain_DSM_106830	25	group1
Roseovarius_indicus_strain_DSM_26383	25	group1
Salipiger_profundus_strain_JLT2016	25	group1
Serratia_symbiotica_strain_241	25	group1
Shewanella_decolorationis_strain_Ni13	25	group1
Sphingomonas_insulae_strain_KCTC_12872	25	group1
Tenacibaculum_todarodis_strain_LPB0136	25	group1
Terriglobus_saanensis_SP1PR4_strain_SP1PR4	25	group1
Cellulophaga_lytica_DSM_7489_strain_DSM_7489	26	group1
Labrenzia_alexandrii_DFL11_strain_DFL11	26	group1
Marinomonas_arctica_strain_BSI20414	26	group1
Pedobacter_steynii_strain_DX4	26	group1
Planococcus_versutus_strain_L1015	26	group1
Vibrio_scophthalmi_strain_VS05	26	group1
Vibrio_spartinae_strain_36	26	group1
Acinetobacter_piscicola_strain_YH12207_T	26.5	group1
Alcanivorax_pacificus_W115_strain_W115	26.5	group1
Glutamicibacter_halophytocola_strain_DR408	26.5	group1
Pseudomonas_marincola_strain_YSy11	26.5	group1
Psychrobacter_arenosus_	26.5	group1
Brevibacterium_oceani_strain_WW007	27	group1
Methylocystis_rosea_strain_BRCS1	27	group1
Polaribacter_reichenbachii_strain_6Alg_8T	27	group1
Alteromonas_naphthalenivorans_strain_SN2	27.5	group1
Antarcticibacterium_flavum_strain_JB01H24	27.5	group1
Brevibacterium_sandarakinum_strain_DSM_22082	27.5	group1
Chryseobacterium_carnipullorum_strain_F9942	27.5	group1
Dehalococcoides_mccartyi_BTF08_strain_BTF08	27.5	group1
Dyella_japonica_A8_strain_A8	27.5	group1
Flavobacterium_anhuiense_strain_GSE09	27.5	group1
Flavobacterium_columnare_ATCC_49512_strain_ATCC_49512	27.5	group1
Flavobacterium_johnsoniae_strain_FJ001	27.5	group1
Herbaspirillum_robiniae_strain_AA6	27.5	group1
Kushneria_marisflavi_strain_SW32	27.5	group1
Lysobacter_caseinilyticus_strain_JCM32879	27.5	group1
Marinobacter_salarius_strain_HL27082	27.5	group1
Mariprofundus_ferrinatatus_strain_CP8	27.5	group1
Microbacterium_paludicola_strain_CC3	27.5	group1
Microbacterium_paraoxydans_strain_70447	27.5	group1
Oblitimonas_alkaliphila_strain_C6819	27.5	group1
Paraburkholderia_aromaticivorans_strain_AR2038	27.5	group1
Paraburkholderia_ginsengisoli_strain_FDAARGOS_1049	27.5	group1
Pedobacter_roseus_strain_KACC_11594	27.5	group1
Planococcus_donghaensis_strain_DSM_22276	27.5	group1
Pseudoalteromonas_donghaensis_strain_HJ51	27.5	group1
Pseudoalteromonas_ruthenica_strain_LMG_19699	27.5	group1
Pseudomonas_pohangensis_strain_DSM_17875	27.5	group1
Salinimonas_lutimaris_strain_DPSR4	27.5	group1
Shewanella_dokdonensis_strain_DSM_23626	27.5	group1
Sphaerochaeta_pleomorpha_str_Grapes_strain_Grapes	27.5	group1
Sphingomonas_lutea_strain_KCTC_23642	27.5	group1
Sphingomonas_panacis_strain_DCY99	27.5	group1
Sphingomonas_rhizophila_strain_KACC_19189	27.5	group1
Spiroplasma_taiwanense_CT1_strain_CT1	27.5	group1
Spirosoma_radiotolerans_strain_DG5A	27.5	group1
Tenacibaculum_jejuense_strain_KCTC_22618_T_	27.5	group1
Actinoplanes_missouriensis_431_strain_431	28	group1
Adhaeribacter_swui_strain_KCTC_52873	28	group1
Alicyclobacillus_ferrooxydans_strain_ALEF1	28	group1
Bacillus_pseudomycoides_DSM_12442_strain_DSM_12442	28	group1
Beggiatoa_leptomitoformis_strain_D402	28	group1
Bradyrhizobium_arachidis_strain_CCBAU_051107	28	group1
Bradyrhizobium_erythrophlei_strain_GAS138	28	group1
Bradyrhizobium_guangdongense_strain_CCBAU_51649	28	group1
Bradyrhizobium_lablabi_strain_GAS499	28	group1
Brevibacterium_siliguriense_strain_DSM_23676	28	group1
Celeribacter_indicus_strain_P73	28	group1
Cellulophaga_baltica_NN016038_strain_NN016038	28	group1
Desulfosarcina_widdelii_strain_PP31	28	group1
Diaphorobacter_polyhydroxybutyrativorans_strain_SL205	28	group1
Empedobacter_stercoris_strain_ES183	28	group1
Flavobacterium_gilvum_strain_EM1308	28	group1
Hymenobacter_qilianensis_strain_JCM_19763	28	group1
Jeotgalibaca_dankookensis_strain_EX07	28	group1
Kocuria_rhizophila_strain_28R2A20	28	group1
Lysobacter_capsici_strain_55	28	group1
Marinobacter_fonticola_strain_CS412	28	group1
Martelella_mediterranea_DSM_17316_strain_MACL11	28	group1
Mesorhizobium_erdmanii_strain_NZP2014	28	group1
Mesorhizobium_japonicum_R7A_strain_R7A	28	group1
Mesorhizobium_jarvisii_strain_ATCC_700743	28	group1
Methylobacterium_aquaticum_strain_MA22A	28	group1
Methylobacterium_oryzae_CBMB20_strain_CBMB20	28	group1
Methylobacterium_phyllosphaerae_strain_CBMB27	28	group1
Microbacterium_endophyticum_strain_DSM_27099	28	group1
Microbacterium_oryzae_strain_MB10	28	group1
Microbacterium_sediminis_strain_YLB01	28	group1
Mucilaginibacter_gossypii_strain_P3	28	group1
Myroides_phaeus_strain_18QD1AZ29W	28	group1
Nocardia_tengchongensis_strain_CFH_S0057	28	group1
Nocardioides_daphniae_strain_JCM_16608	28	group1
Nocardioides_mesophilus_strain_KACC_16243	28	group1
Paenibacillus_borealis_strain_DSM_13188	28	group1
Paenibacillus_cellulosilyticus_strain_KACC_14175	28	group1
Paenibacillus_ihbetae_strain_IHBB_9852	28	group1
Paenibacillus_physcomitrellae_strain_XB	28	group1
Paenibacillus_thiaminolyticus_strain_NRRL_B4156	28	group1
Paracoccus_sanguinis_strain_OM2164	28	group1
Phaeobacter_inhibens_210_strain_21	28	group1
Pseudomonas_granadensis_	28	group1
Pseudomonas_versuta_strain_L1010	28	group1
Pseudomonas_yamanorum_strain_GZD14026	28	group1
Pseudomonas_zhaodongensis_strain_A252	28	group1
Rhizobium_lentis_strain_BLR27	28	group1
Rhizobium_lusitanum_strain_629	28	group1
Rhizobium_rosettiformans_strain_MAE2X	28	group1
Serratia_ureilytica_strain_CC119	28	group1
Sphingomonas_hengshuiensis_strain_WHSC8	28	group1
Staphylococcus_succinus_strain_14BME20	28	group1
Streptomyces_hundungensis_strain_BH38	28	group1
Streptomyces_solisilvae_strain_HNM0141	28	group1
Streptomyces_spongiicola_strain_HNM0071	28	group1
Streptomyces_tsukubensis_NRRL18488_strain_NRRL18488	28	group1
Streptomyces_xiamenensis_strain_MCCC_1A01550	28	group1
Streptomyces_xinghaiensis_S187_strain_S187	28	group1
Sulfitobacter_pseudonitzschiae_strain_H46	28	group1
Tessaracoccus_flavus_strain_RP1	28	group1
Thermomonas_carbonis_strain_KCTC_42013	28	group1
Thioclava_nitratireducens_strain_25B10_4	28	group1
Thiomicrorhabdus_indica_strain_1315A	28	group1
Acidithiobacillus_ferridurans_strain_JCM_18981	29	group1
Acidithiobacillus_thiooxidans_ATCC_19377_strain_ATCC_19377	29	group1
Bacillus_atrophaeus_1942_strain_1942	29	group1
Bacillus_mojavensis_strain_LDFZ001	29	group1
Bacillus_vallismortis_strain_Bac111	29	group1
Deinococcus_irradiatisoli_strain_17bor2	29	group1
Edwardsiella_piscicida_C07087_strain_C07087	29	group1
Erwinia_billingiae_Eb661_strain_Eb661	29	group1
Fictibacillus_phosphorivorans_strain_G2529	29	group1
Janibacter_indicus_strain_YFY001	29	group1
Kocuria_indica_strain_CE7	29	group1
Lysobacter_antibioticus_strain_76	29	group1
Massilia_flava_strain_DSM_26639	29	group1
Massilia_lutea_strain_DSM_17473	29	group1
Massilia_plicata_strain_DSM_17505	29	group1
Massilia_umbonata_strain_DSMZ_26121	29	group1
Myxococcus_xanthus_DK_1622_strain_DK_1622	29	group1
Nonlabens_spongiae_strain_JCM_13191	29	group1
Pontibacter_akesuensis_strain_AKS_1T	29	group1
Pseudoalteromonas_issachenkonii_strain_KCTC_12958	29	group1
Pseudoalteromonas_shioyasakiensis_strain_D1497	29	group1
Pseudomonas_lactis_strain_SS101	29	group1
Rhizobium_pusense_strain_76	29	group1
Shewanella_chilikensis_strain_DC57	29	group1
Sphingomonas_daechungensis_strain_KACC_18115	29	group1
Sulfurovum_lithotrophicum_strain_ATCC_BAA797	29	group1
Vibrio_panuliri_strain_JCM_19500	29	group1
Acidithiobacillus_ferrivorans_	29.5	group1
Acetobacter_oryzifermentans_strain_dm	30	group1
Acholeplasma_brassicae_strain_O502	30	group1
Acholeplasma_palmae_J233_strain_J233	30	group1
Acidipropionibacterium_virtanenii_strain_JS278	30	group1
Acinetobacter_lactucae_	30	group1
Acinetobacter_oleivorans_DR1_strain_DR1	30	group1
Acinetobacter_soli_strain_GFJ2	30	group1
Actinoalloteichus_hoggarensis_strain_DSM_45943	30	group1
Aeromicrobium_choanae_strain_9H4	30	group1
Agrococcus_jejuensis_strain_DSM_22002	30	group1
Agromyces_flavus_strain_CPCC_202695	30	group1
Alcanivorax_xenomutans_strain_P40	30	group1
Aquitalea_denitrificans_strain_5YN13	30	group1
Azospirillum_humicireducens_strain_SgZ5	30	group1
Azospirillum_oryzae_strain_KACC_14407	30	group1
Bacillus_albus_strain_DLOUYingkou	30	group1
Bacillus_gobiensis_strain_FJAT4402	30	group1
Bacillus_luti_strain_FJ	30	group1
Bacillus_megaterium_DSM_319_strain_DSM_319	30	group1
Bacillus_mobilis_strain_MLA2C4	30	group1
Bacillus_nitratireducens_strain_BM02	30	group1
Bacillus_pacificus_strain_Colony501	30	group1
Bacillus_paranthracis_strain_BC307	30	group1
Bacillus_tropicus_strain_AOACPS1	30	group1
Bacillus_wiedmannii_strain_MM3	30	group1
Brachybacterium_saurashtrense_strain_DSM_23186	30	group1
Brevibacillus_formosus_strain_NF2	30	group1
Brevibacillus_laterosporus_DSM_25_strain_DSM_25	30	group1
Brevundimonas_mediterranea_strain_D15126	30	group1
Brevundimonas_naejangsanensis_strain_B1	30	group1
Carnobacterium_maltaromaticum_LMA28_strain_LMA28	30	group1
Celeribacter_marinus_strain_IMCC12053	30	group1
Chitinophaga_caeni_strain_13	30	group1
Chromobacterium_rhizoryzae_strain_JP274	30	group1
Chryseobacterium_shandongense_strain_G0207	30	group1
Chryseobacterium_taklimakanense_strain_F9257	30	group1
Cloacibacterium_normanense_strain_NRS1	30	group1
Deinococcus_gobiensis_I0_strain_I0	30	group1
Deinococcus_peraridilitoris_DSM_19664_strain_DSM_19664	30	group1
Deinococcus_swuensis_strain_DY59	30	group1
Desulfitobacterium_metallireducens_DSM_15288_strain_DSM_15288	30	group1
Desulfovibrio_carbinoliphilus_subsp_oakridgensis_strain_FW1012B	30	group1
Draconibacterium_orientale_strain_Draconibacterium_orientale_type_strain_FH5T	30	group1
Dyella_thiooxydans_strain_ATSB10	30	group1
Flammeovirga_yaeyamensis_strain_NBRC3A100898	30	group1
Flavobacterium_commune_strain_PK15	30	group1
Francisella_marina_strain_E10315	30	group1
Geobacter_daltonii_FRC32_strain_FRC32	30	group1
Geobacter_pickeringii_strain_G13	30	group1
Gordonia_iterans_strain_Co17	30	group1
Gordonia_phthalatica_strain_QH11	30	group1
Gramella_flava_JLT2011_strain_JLT2011	30	group1
Gramella_salexigens_strain_LPB0144	30	group1
Halomonas_huangheensis_strain_BJGMMB45	30	group1
Halomonas_hydrothermalis_strain_Slthf2	30	group1
Halomonas_socia_strain_CKY01	30	group1
Hymenobacter_swuensis_DY53_strain_DY53	30	group1
Janibacter_melonis_strain_M714	30	group1
Lactobacillus_acetotolerans_strain_LA749	30	group1
Lactobacillus_terrae_strain_NIBRBAC000499792	30	group1
Lactococcus_petauri_strain_CF11	30	group1
Leucobacter_denitrificans_strain_KACC_14055	30	group1
Lysinibacillus_parviboronicapiens_strain_VT1065	30	group1
Lysobacter_helvus_strain_JCM32364	30	group1
Lysobacter_maris_strain_HZ9B	30	group1
Lysobacter_soli_strain_XL170	30	group1
Maribacter_dokdonensis_strain_MAR_2009_60	30	group1
Marinobacter_hydrocarbonoclasticus_ATCC_49840_strain_ATCC_49840	30	group1
Martelella_lutilitoris_strain_ZRK001	30	group1
Massilia_armeniaca_strain_ZMN3	30	group1
Massilia_putida_strain_6NM7	30	group1
Mesoplasma_entomophilum_strain_TAC	30	group1
Mesoplasma_lactucae_ATCC_49193_strain_831C4	30	group1
Methylobacterium_brachiatum_strain_TX0642	30	group1
Methylocystis_parvus_strain_BRCS2	30	group1
Methylomonas_koyamae_strain_LM6	30	group1
Methylophaga_nitratireducenticrescens_strain_GP59	30	group1
Microbacterium_lemovicicum_strain_Viu22	30	group1
Microbacterium_oxydans_strain_HG3	30	group1
Microbacterium_wangchenii_strain_dk512	30	group1
Microbulbifer_aggregans_strain_CCBMM1	30	group1
Mycobacterium_stomatepiae_strain_JCM_17783	30	group1
Mycolicibacter_minnesotensis_strain_JCM_17932	30	group1
Mycolicibacterium_aubagnense_strain_JCM_15296	30	group1
Neptunomonas_phycophila_strain_Scap09	30	group1
Niabella_soli_DSM_19437_strain_DSM_19437	30	group1
Nocardioides_aromaticivorans_strain_IC177	30	group1
Nocardioides_ungokensis_strain_LMG_28591	30	group1
Oscillibacter_valericigenes_Sjm1820_strain_Sjm1820	30	group1
Paenibacillus_beijingensis_strain_DSM_24997	30	group1
Paenibacillus_jilunlii_strain_KACC_16679	30	group1
Paenibacillus_sabinae_T27_strain_T27	30	group1
Paenibacillus_sonchi_strain_LMG_24727	30	group1
Paenibacillus_sophorae_strain_DSM_23020	30	group1
Paenibacillus_swuensis_strain_DY6	30	group1
Paenibacillus_terrae_HPL003_strain_HPL003	30	group1
Paenibacillus_tritici_strain_PH551	30	group1
Pandoraea_thiooxydans_strain_ATSB16	30	group1
Paraburkholderia_tropica_strain_IAC135	30	group1
Paracoccus_zhejiangensis_strain_J6	30	group1
Pelagibacterium_halotolerans_strain_ANSP101	30	group1
Phreatobacter_stygius_strain_KCTC_52518	30	group1
Planococcus_plakortidis_strain_DSM_23997	30	group1
Pseudoalteromonas_atlantica_strain_ECSMB14104	30	group1
Pseudoalteromonas_carrageenovora_IAM_12662_strain_ATCC43555T	30	group1
Pseudoalteromonas_espejiana_DSM_9414_strain_DSM_9414	30	group1
Pseudoalteromonas_nigrifaciens_strain_KMM_661	30	group1
Pseudoalteromonas_piscicida_strain_DE1A	30	group1
Pseudoalteromonas_rubra_strain_DSM_6842	30	group1
Pseudoalteromonas_tetraodonis_strain_GFC	30	group1
Pseudodesulfovibrio_piezophilus_C1TLV30_strain_type_strain3A_C1TLV30	30	group1
Pseudomonas_arsenicoxydans_strain_ACM1	30	group1
Pseudomonas_guangdongensis_strain_CCTCC_AB_2012022	30	group1
Pseudomonas_kribbensis_strain_462	30	group1
Pseudomonas_libanensis_strain_DMSP1	30	group1
Pseudomonas_mandelii_JR1_strain_JR1	30	group1
Pseudomonas_monteilii_SB3078_strain_SB3078	30	group1
Pseudomonas_mosselii_strain_BS011	30	group1
Pseudomonas_salegens_strain_CECT_8338	30	group1
Pseudomonas_sihuiensis_strain_KCTC_32246	30	group1
Pseudomonas_simiae_strain_KHfL9	30	group1
Pseudoxanthomonas_suwonensis_111_strain_1Nov	30	group1
Qipengyuania_sediminis_strain_CGMCC_112928	30	group1
Rhodococcus_biphenylivorans_strain_B403	30	group1
Rufibacter_tibetensis_strain_1351	30	group1
Serinicoccus_profundi_strain_CGMCC_45582	30	group1
Shewanella_oneidensis_MR1_strain_MR1	30	group1
Sorangium_cellulosum_So_ce56_strain_So_ce_56	30	group1
Sphingobium_phenoxybenzoativorans_strain_Tas13	30	group1
Sphingomonas_ginsengisoli_An_et_al_2013_strain_KACC_16858	30	group1
Spiroplasma_chinense_strain_CCH	30	group1
Spiroplasma_chrysopicola_DF1_strain_DF1	30	group1
Spiroplasma_diminutum_CUAS1_strain_CUAS1	30	group1
Spiroplasma_eriocheiris_CCTCC_M_207170_strain_CCTCC_M_207170	30	group1
Spiroplasma_phoeniceum_P40_strain_P40	30	group1
Spiroplasma_poulsonii_strain_MSRO_BK	30	group1
Spiroplasma_sabaudiense_Ar1343_strain_Ar1343	30	group1
Spirosoma_montaniterrae_strain_DY10	30	group1
Staphylococcus_nepalensis_strain_JS1	30	group1
Staphylococcus_xylosus_	30	group1
Streptomyces_aquilus_strain_GGCR6	30	group1
Streptomyces_harbinensis_strain_NA02264	30	group1
Streptomyces_leeuwenhoekii_strain_type_strain__C34___DSM_42122___NRRL_B24963_	30	group1
Sulfurimonas_paralvinellae_strain_GO25	30	group1
Sulfurospirillum_cavolei_strain_UCH003	30	group1
Sulfurospirillum_multivorans_DSM_12446_strain_DSM_12446	30	group1
Tenacibaculum_maritimum_NCIMB_2154_	30	group1
Terribacillus_goriensis_strain_MP602	30	group1
Tetragenococcus_koreensis_strain_KCTC_3924	30	group1
Tetragenococcus_osmophilus_strain_JCM_31126	30	group1
Vallitalea_pronyensis_strain_FatNI3	30	group1
Vibrio_astriarenae_strain_HN897	30	group1
Vibrio_jasicida_090810c_strain_090810c	30	group1
Vibrio_metoecus_strain_062478	30	group1
Virgibacillus_necropolis_strain_LMG_19488	30	group1
Virgibacillus_phasianinus_strain_LM2416	30	group1
Weissella_diestrammenae_strain_KACC_16890	30	group1
Winogradskyella_sediminis_strain_RHA_55	30	group1
Shewanella_maritima_strain_D42	30.5	group1
Echinicola_vietnamensis_DSM_17526_strain_DSM_17526	31	group1
Mycobacterium_haemophilum_DSM_44634_strain_ATCC_29548	31	group1
Mycolicibacterium_madagascariense_strain_JCM_13574	31	group1
Paenibacillus_chitinolyticus_strain_KCCM_41400	31	group1
Pseudoalteromonas_phenolica_OBC30_strain_OBC30	31	group1
Spiroplasma_kunkelii_CR23x_strain_CR23x	31	group1
Thauera_humireducens_strain_SgZ1	31	group1
Acidovorax_carolinensis_strain_NA2	31.25	group1
Pseudomonas_moraviensis_R28S_strain_R28S	31.5	group1
