	observed	predict
Flavobacterium_psychrophilum_strain_FPSD10	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSD15	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSF15	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSF16	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSF21	17.5	17.78475936
Flavobacterium_psychrophilum_strain_FPSF22	17.5	17.80650407
Flavobacterium_psychrophilum_strain_FPSF27	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSF30	17.5	17.57941176
Flavobacterium_psychrophilum_strain_FPSF32	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSF33	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSG1	17.5	17.52739726
Flavobacterium_psychrophilum_strain_FPSR7	17.5	17.84309651
Flavobacterium_psychrophilum_strain_FPSS10	17.5	17.58355978
Flavobacterium_psychrophilum_strain_FPSS11A	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSS11B	17.5	17.5
Flavobacterium_psychrophilum_strain_FPSS6	17.5	17.6058129
Flavobacterium_psychrophilum_strain_FPSS9	17.5	19.00685518
Flavobacterium_psychrophilum_strain_MH1	17.5	17.5
Flavobacterium_psychrophilum_strain_OSU_THCO290	17.5	17.96775266
Flavobacterium_psychrophilum_strain_PG2	17.5	17.5
Flavobacterium_psychrophilum_strain_phage_resistant_V120	17.5	17.5
Flavobacterium_psychrophilum_strain_phage_resistant_V220	17.5	17.52722222
Flavobacterium_psychrophilum_strain_phage_resistant_V35	17.5	17.5
Flavobacterium_psychrophilum_strain_phage_resistant_V424	17.5	17.68646409
Flavobacterium_psychrophilum_strain_phage_resistant_V428	17.5	17.50673854
Flavobacterium_psychrophilum_strain_phage_resistant_V433	17.5	17.5
Flavobacterium_psychrophilum_strain_VQ50	17.5	17.52264732
Trichormus_variabilis_0441_strain_0441	18	26.57670623
Trichormus_variabilis_NIES23_strain_NIES23	18	27.9702178
Vibrio_tapetis_subsp_tapetis_	18	25.68195175
Carnobacterium_inhibens_subsp_gilichinskyi_strain_WN1359	20	31.71832011
Francisella_halioticida_strain_DSM_23729	20	27.66069024
Janthinobacterium_svalbardensis_strain_PAMC_27463	20	27.83402962
Leisingera_methylohalidivorans_DSM_14336_strain_DSM_14336__MB2	20	27.11386612
Lysobacter_gummosus_strain_3211	20	28.76454721
Marinomonas_primoryensis_strain_AceL	20	25.80194663
Massilia_violaceinigra_strain_B2	20	27.17497742
Methyloprofundus_sedimenti_strain_WF1	20	29.73957276
Neptunomonas_japonica_JAMM_1380_strain_JAMM_1380	20	28.22496366
Octadecabacter_temperatus_strain_SB1	20	27.00023084
Peribacillus_psychrosaccharolyticus_strain_FDAARGOS_1161	20	33.03518006
Pseudoalteromonas_atlantica_T6c_strain_T6c	20	25.83525469
Rhodoferax_saidenbachensis_strain_DSM_22694	20	28.40344531
Roseobacter_denitrificans_strain_FDAARGOS_309	20	26.16059783
Roseobacter_litoralis_Och_149_strain_Och_149	20	24.08163539
Sporosarcina_psychrophila_strain_DSM_6497	20	32.07809454
Vibrio_splendidus_strain_Vibrio_sp	20	26.62517094
Nocardioides_aquaticus_strain_KCTC_9944	21	29.95448543
Sulfurimonas_denitrificans_DSM_1251_strain_DSM_1251	21	30.01042844
Flavobacterium_branchiophilum_FL15_strain_FL15	21.5	26.74687238
Pseudomonas_alkylphenolica_strain_KL28	21.5	29.36885572
Aeromonas_media_strain_Colony414	22	29.92431694
Francisella_philomiragia_strain_18844	22	23.48208441
Francisella_philomiragia_strain_GA012794	22	24.32653811
Francisella_philomiragia_strain_GA012801	22	23.62393617
Francisella_philomiragia_strain_O319029	22	22.08524173
Francisella_philomiragia_strain_O319036_FSC_153	22	23.37696477
Francisella_philomiragia_strain_O319067	22	22.28722382
Francisella_philomiragia_subsp_philomiragia_ATCC_25015_strain_O319L	22	24.12206704
Francisella_philomiragia_subsp_philomiragia_ATCC_25017_strain_ATCC_25017	22	22.2473133
Oenococcus_oeni_strain_19	22	33.2625
Psychrobacter_arcticus_2734_strain_2734	22	25.91720779
Psychrobacter_cryohalolentis_K5_strain_K5	22	24.01487013
Rhodoluna_limnophila_strain_1BMac	22	24.81167097
Rhodoluna_limnophila_strain_27DLEPI	22	24.51370215
Rhodoluna_limnophila_strain_36AHELLB	22	24.79938272
Thalassospira_xiamenensis_M5___DSM_17429_strain_M5	22	29.79745686
Arthrobacter_alpinus_strain_A3	22.5	28.07062109
Brochothrix_thermosphacta_strain_BI	22.5	34.53344128
Halioglobus_pacificus_strain_RR357	22.5	29.03664352
Methylomonas_paludis_strain_S2AM	22.5	31.6151084
Microterricola_viridarii_strain_ERGS53A02	22.5	28.93819832
Paenibacillus_donghaensis_strain_KCTC_13049	22.5	30.17137255
Pseudomonas_silesiensis_strain_A3	22.5	28.93328889
Rhizobacter_gummiphilus_strain_NS21	22.5	28.34895833
Shewanella_japonica_strain_KCTC_22435	22.5	23.58156499
Sulfitobacter_mediterraneus_strain_SC111	22.5	26.19814068
Thalassolituus_oleivorans_R615_strain_R615	22.5	27.91117069
Entomoplasma_melaleucae_strain_M1	23	33.31401099
Mesoplasma_syrphidae_strain_YJS	23	31.12723629
Paenibacillus_xylanexedens_strain_PAMC_22703	23	29.67834663
Streptomyces_lunaelactis_strain_MM109	23	30.29271671
Chitinophaga_pinensis_	23.5	28.30124269
Pseudoalteromonas_aliena_strain_EH1	23.5	26.52376629
Pseudoalteromonas_prydzensis_ACAM_620_strain_ACAM_620	23.5	26.22190821
Phaeobacter_porticola_strain_P97	24	26.76909537
Pseudoalteromonas_agarivorans_strain_Hao_2018	24	26.73701499
Pseudomonas_mucidolens_strain_LMG_2223	24	28.86192197
Aeromicrobium_marinum_DSM_15272_strain_DSM_15272	25	29.38621609
Bacillus_lehensis_G1_strain_G1	25	41.74843893
Brachybacterium_ginsengisoli_strain_DCY80	25	29.23291667
Caulobacter_mirabilis_strain_FWC_38	25	29.36449561
Chryseobacterium_cucumeris_strain_MW6	25	28.37566621
Cyclobacterium_marinum_DSM_745_strain_DSM_745	25	27.74016927
Deinococcus_actinosclerus_strain_Deinococcus_actinosclerus_SJTR	25	32.52025463
Delftia_lacustris_strain_FDAARGOS_890	25	31.46196167
Desulfosporosinus_youngiae_DSM_17734_strain_DSM_17734	25	33.25669761
Echinicola_strongylocentroti_strain_MEBiC08714	25	29.14229167
Flavisolibacter_tropicus_strain_LCS9	25	28.79592391
Flavobacterium_arcticum_strain_SM1502	25	27.8371547
Flavobacterium_crassostreae_strain_LPB0076	25	25.25284781
Flavobacterium_kingsejongi_strain_WV39	25	27.98661836
Flavobacterium_sangjuense_strain_GS03	25	26.47200737
Glaciecola_nitratireducens_FR1064_strain_FR1064	25	26.66745219
Hymenobacter_sedentarius_strain_DG5B	25	27.92277924
Lacinutrix_venerupis_strain_DOK28	25	28.23777322
Lactobacillus_hokkaidonensis_JCM_18461_strain_LOOC260	25	32.32258829
Methylocystis_heyeri_strain_H2	25	28.15657005
Mucilaginibacter_gotjawali_strain_SA37	25	27.30267035
Mucilaginibacter_mallensis_strain_MP1X4	25	28.54806508
Muricauda_ruestringensis_DSM_13258_strain_DSM_13258	25	28.34076332
Nakamurella_panacisegetis_strain_P47KCTC_19426CECT_7604	25	31.30773196
Nitrosospira_lacus_strain_APG3	25	31.21390436
Nocardioides_baekrokdamisoli_strain_KCTC_39748	25	30.68888164
Nocardioides_dokdonensis_FR1436_strain_FR1436	25	30.03984047
Paenibacillus_baekrokdamisoli_strain_KCTC_33723	25	28.80512129
Paenibacillus_crassostreae_strain_LPB0068	25	30.43133705
Pannonibacter_phragmitetus_strain_31801	25	30.42303541
Paraburkholderia_caffeinilytica_strain_CF1	25	29.5184555
Pedobacter_ginsengisoli_strain_T01R27	25	28.34115535
Phaeobacter_gallaeciensis_strain_JL2886	25	25.94445876
Planococcus_faecalis_strain_AJ003	25	29.30310411
Planococcus_halocryophilus_strain_DSM_24743	25	28.32463675
Polaribacter_sejongensis_strain_KCTC_23670	25	25.97563406
Polaribacter_vadi_strain_LPB0003	25	27.06146704
Pseudoalteromonas_arabiensis_strain_LST1	25	28.29455307
Pseudoalteromonas_lipolytica_LMEB_39_strain_LMEB_39	25	26.88804855
Pseudoalteromonas_luteoviolacea_DSM_6061_strain_CH130	25	27.76997245
Pseudoalteromonas_paragorgicola_KMM_3548_strain_KMM_3548	25	26.14467844
Pseudoalteromonas_translucida_KMM_520_strain_KMM_520	25	26.95647087
Pseudoalteromonas_undina_strain_DSM_6065	25	28.14346264
Pseudoalteromonas_xiamenensis_strain_STKMTI2	25	28.80354421
Pseudodesulfovibrio_profundus_strain_5001	25	32.12804774
Pseudomonas_lundensis_strain_2T252	25	28.79752095
Pseudomonas_pelagia_strain_Kongs67	25	28.00129916
Pseudomonas_psychrophila_strain_KM02	25	28.47827965
Roseobacter_ponti_strain_DSM_106830	25	25.27451241
Roseovarius_indicus_strain_DSM_26383	25	27.37094017
Salipiger_profundus_strain_JLT2016	25	28.10646067
Serratia_symbiotica_strain_241	25	31.83028007
Shewanella_decolorationis_strain_Ni13	25	26.03370098
Sphingomonas_insulae_strain_KCTC_12872	25	29.36797009
Tenacibaculum_todarodis_strain_LPB0136	25	27.38892276
Terriglobus_saanensis_SP1PR4_strain_SP1PR4	25	30.91533019
Cellulophaga_lytica_DSM_7489_strain_DSM_7489	26	26.83292683
Labrenzia_alexandrii_DFL11_strain_DFL11	26	25.36440639
Marinomonas_arctica_strain_BSI20414	26	26.52624765
Pedobacter_steynii_strain_DX4	26	28.54684444
Planococcus_versutus_strain_L1015	26	28.9855787
Vibrio_scophthalmi_strain_VS05	26	26.43853887
Vibrio_spartinae_strain_36	26	30.93331129
Acinetobacter_piscicola_strain_YH12207_T	26.5	31.79292996
Alcanivorax_pacificus_W115_strain_W115	26.5	29.43831948
Glutamicibacter_halophytocola_strain_DR408	26.5	28.51346667
Pseudomonas_marincola_strain_YSy11	26.5	27.89007491
Psychrobacter_arenosus_	26.5	28.3015493
Brevibacterium_oceani_strain_WW007	27	28.27516026
Methylocystis_rosea_strain_BRCS1	27	29.45533072
Polaribacter_reichenbachii_strain_6Alg_8T	27	26.24447853
Alteromonas_naphthalenivorans_strain_SN2	27.5	26.56312724
Antarcticibacterium_flavum_strain_JB01H24	27.5	28.26334244
Brevibacterium_sandarakinum_strain_DSM_22082	27.5	29.13939607
Chryseobacterium_carnipullorum_strain_F9942	27.5	27.30652036
Dehalococcoides_mccartyi_BTF08_strain_BTF08	27.5	47.02790337
Dyella_japonica_A8_strain_A8	27.5	28.92833269
Flavobacterium_anhuiense_strain_GSE09	27.5	27.23169761
Flavobacterium_columnare_ATCC_49512_strain_ATCC_49512	27.5	26.06855132
Flavobacterium_johnsoniae_strain_FJ001	27.5	26.42389307
Herbaspirillum_robiniae_strain_AA6	27.5	29.469176
Kushneria_marisflavi_strain_SW32	27.5	30.75242301
Lysobacter_caseinilyticus_strain_JCM32879	27.5	29.9648226
Marinobacter_salarius_strain_HL27082	27.5	29.90618687
Mariprofundus_ferrinatatus_strain_CP8	27.5	30.80638228
Microbacterium_paludicola_strain_CC3	27.5	29.1234809
Microbacterium_paraoxydans_strain_70447	27.5	28.35847498
Oblitimonas_alkaliphila_strain_C6819	27.5	30.31070776
Paraburkholderia_aromaticivorans_strain_AR2038	27.5	29.16537393
Paraburkholderia_ginsengisoli_strain_FDAARGOS_1049	27.5	29.64048631
Pedobacter_roseus_strain_KACC_11594	27.5	28.93243333
Planococcus_donghaensis_strain_DSM_22276	27.5	28.74465241
Pseudoalteromonas_donghaensis_strain_HJ51	27.5	25.99140489
Pseudoalteromonas_ruthenica_strain_LMG_19699	27.5	27.337354
Pseudomonas_pohangensis_strain_DSM_17875	27.5	27.91701977
Salinimonas_lutimaris_strain_DPSR4	27.5	27.08481529
Shewanella_dokdonensis_strain_DSM_23626	27.5	32.4143287
Sphaerochaeta_pleomorpha_str_Grapes_strain_Grapes	27.5	31.99818738
Sphingomonas_lutea_strain_KCTC_23642	27.5	31.71793071
Sphingomonas_panacis_strain_DCY99	27.5	29.24371728
Sphingomonas_rhizophila_strain_KACC_19189	27.5	29.93346354
Spiroplasma_taiwanense_CT1_strain_CT1	27.5	30.54666667
Spirosoma_radiotolerans_strain_DG5A	27.5	27.49367965
Tenacibaculum_jejuense_strain_KCTC_22618_T_	27.5	27.18989832
Actinoplanes_missouriensis_431_strain_431	28	29.65989035
Adhaeribacter_swui_strain_KCTC_52873	28	28.63961251
Alicyclobacillus_ferrooxydans_strain_ALEF1	28	34.0330815
Bacillus_pseudomycoides_DSM_12442_strain_DSM_12442	28	31.55974761
Beggiatoa_leptomitoformis_strain_D402	28	30.23101093
Bradyrhizobium_arachidis_strain_CCBAU_051107	28	28.8499783
Bradyrhizobium_erythrophlei_strain_GAS138	28	27.55152778
Bradyrhizobium_guangdongense_strain_CCBAU_51649	28	28.26516966
Bradyrhizobium_lablabi_strain_GAS499	28	27.90002277
Brevibacterium_siliguriense_strain_DSM_23676	28	28.95433333
Celeribacter_indicus_strain_P73	28	28.58631298
Cellulophaga_baltica_NN016038_strain_NN016038	28	25.10308728
Desulfosarcina_widdelii_strain_PP31	28	32.23828596
Diaphorobacter_polyhydroxybutyrativorans_strain_SL205	28	30.92830756
Empedobacter_stercoris_strain_ES183	28	29.23711317
Flavobacterium_gilvum_strain_EM1308	28	27.45010851
Hymenobacter_qilianensis_strain_JCM_19763	28	27.58509524
Jeotgalibaca_dankookensis_strain_EX07	28	31.88137394
Kocuria_rhizophila_strain_28R2A20	28	30.78575342
Lysobacter_capsici_strain_55	28	26.63220974
Marinobacter_fonticola_strain_CS412	28	29.69166667
Martelella_mediterranea_DSM_17316_strain_MACL11	28	29.19231508
Mesorhizobium_erdmanii_strain_NZP2014	28	28.45842912
Mesorhizobium_japonicum_R7A_strain_R7A	28	27.82892004
Mesorhizobium_jarvisii_strain_ATCC_700743	28	28.20564516
Methylobacterium_aquaticum_strain_MA22A	28	28.30358399
Methylobacterium_oryzae_CBMB20_strain_CBMB20	28	28.52269129
Methylobacterium_phyllosphaerae_strain_CBMB27	28	28.67789954
Microbacterium_endophyticum_strain_DSM_27099	28	28.27219366
Microbacterium_oryzae_strain_MB10	28	29.42060688
Microbacterium_sediminis_strain_YLB01	28	29.00026954
Mucilaginibacter_gossypii_strain_P3	28	28.54024976
Myroides_phaeus_strain_18QD1AZ29W	28	31.01676471
Nocardia_tengchongensis_strain_CFH_S0057	28	33.96883591
Nocardioides_daphniae_strain_JCM_16608	28	37.07341689
Nocardioides_mesophilus_strain_KACC_16243	28	29.31819444
Paenibacillus_borealis_strain_DSM_13188	28	28.85106778
Paenibacillus_cellulosilyticus_strain_KACC_14175	28	29.48952991
Paenibacillus_ihbetae_strain_IHBB_9852	28	30.39183052
Paenibacillus_physcomitrellae_strain_XB	28	30.30303635
Paenibacillus_thiaminolyticus_strain_NRRL_B4156	28	31.13237687
Paracoccus_sanguinis_strain_OM2164	28	30.39210526
Phaeobacter_inhibens_210_strain_21	28	25.08236648
Pseudomonas_granadensis_	28	29.49937107
Pseudomonas_versuta_strain_L1010	28	27.99937611
Pseudomonas_yamanorum_strain_GZD14026	28	28.38794038
Pseudomonas_zhaodongensis_strain_A252	28	28.32393569
Rhizobium_lentis_strain_BLR27	28	28.56614878
Rhizobium_lusitanum_strain_629	28	28.634658
Rhizobium_rosettiformans_strain_MAE2X	28	28.43059392
Serratia_ureilytica_strain_CC119	28	32.36572434
Sphingomonas_hengshuiensis_strain_WHSC8	28	29.22851351
Staphylococcus_succinus_strain_14BME20	28	31.55771878
Streptomyces_hundungensis_strain_BH38	28	29.18687793
Streptomyces_solisilvae_strain_HNM0141	28	28.82504579
Streptomyces_spongiicola_strain_HNM0071	28	31.44210411
Streptomyces_tsukubensis_NRRL18488_strain_NRRL18488	28	29.90690212
Streptomyces_xiamenensis_strain_MCCC_1A01550	28	30.52592105
Streptomyces_xinghaiensis_S187_strain_S187	28	31.77041326
Sulfitobacter_pseudonitzschiae_strain_H46	28	26.30794521
Tessaracoccus_flavus_strain_RP1	28	31.26747243
Thermomonas_carbonis_strain_KCTC_42013	28	29.3808719
Thioclava_nitratireducens_strain_25B10_4	28	28.83553504
Thiomicrorhabdus_indica_strain_1315A	28	29.44161199
Acidithiobacillus_ferridurans_strain_JCM_18981	29	32.5215984
Acidithiobacillus_thiooxidans_ATCC_19377_strain_ATCC_19377	29	35.14473684
Bacillus_atrophaeus_1942_strain_1942	29	32.86520147
Bacillus_mojavensis_strain_LDFZ001	29	32.61856884
Bacillus_vallismortis_strain_Bac111	29	32.8755799
Deinococcus_irradiatisoli_strain_17bor2	29	32.89408915
Edwardsiella_piscicida_C07087_strain_C07087	29	31.76590712
Erwinia_billingiae_Eb661_strain_Eb661	29	31.08838873
Fictibacillus_phosphorivorans_strain_G2529	29	32.33213964
Janibacter_indicus_strain_YFY001	29	30.45972579
Kocuria_indica_strain_CE7	29	30.32309859
Lysobacter_antibioticus_strain_76	29	26.74806994
Massilia_flava_strain_DSM_26639	29	28.13202839
Massilia_lutea_strain_DSM_17473	29	28.12349537
Massilia_plicata_strain_DSM_17505	29	29.01039964
Massilia_umbonata_strain_DSMZ_26121	29	28.58036704
Myxococcus_xanthus_DK_1622_strain_DK_1622	29	28.3482
Nonlabens_spongiae_strain_JCM_13191	29	27.70525266
Pontibacter_akesuensis_strain_AKS_1T	29	29.02545238
Pseudoalteromonas_issachenkonii_strain_KCTC_12958	29	27.94179469
Pseudoalteromonas_shioyasakiensis_strain_D1497	29	27.62682222
Pseudomonas_lactis_strain_SS101	29	28.83629386
Rhizobium_pusense_strain_76	29	28.95008263
Shewanella_chilikensis_strain_DC57	29	30.38557441
Sphingomonas_daechungensis_strain_KACC_18115	29	33.85129271
Sulfurovum_lithotrophicum_strain_ATCC_BAA797	29	29.03310688
Vibrio_panuliri_strain_JCM_19500	29	27.39662162
Acidithiobacillus_ferrivorans_	29.5	33.60231002
Acetobacter_oryzifermentans_strain_dm	30	31.34647254
Acholeplasma_brassicae_strain_O502	30	34.4094086
Acholeplasma_palmae_J233_strain_J233	30	35.25989859
Acidipropionibacterium_virtanenii_strain_JS278	30	30.56490113
Acinetobacter_lactucae_	30	29.72588745
Acinetobacter_oleivorans_DR1_strain_DR1	30	29.23262167
Acinetobacter_soli_strain_GFJ2	30	29.23669391
Actinoalloteichus_hoggarensis_strain_DSM_45943	30	36.11227316
Aeromicrobium_choanae_strain_9H4	30	29.43138056
Agrococcus_jejuensis_strain_DSM_22002	30	29.67234908
Agromyces_flavus_strain_CPCC_202695	30	28.73351548
Alcanivorax_xenomutans_strain_P40	30	29.1418287
Aquitalea_denitrificans_strain_5YN13	30	31.47519144
Azospirillum_humicireducens_strain_SgZ5	30	30.70003406
Azospirillum_oryzae_strain_KACC_14407	30	29.7718867
Bacillus_albus_strain_DLOUYingkou	30	31.64204749
Bacillus_gobiensis_strain_FJAT4402	30	31.95211606
Bacillus_luti_strain_FJ	30	31.19728261
Bacillus_megaterium_DSM_319_strain_DSM_319	30	32.11409758
Bacillus_mobilis_strain_MLA2C4	30	31.37115922
Bacillus_nitratireducens_strain_BM02	30	31.11739927
Bacillus_pacificus_strain_Colony501	30	35.7207336
Bacillus_paranthracis_strain_BC307	30	32.18210514
Bacillus_tropicus_strain_AOACPS1	30	31.19499113
Bacillus_wiedmannii_strain_MM3	30	29.64050492
Brachybacterium_saurashtrense_strain_DSM_23186	30	28.96365435
Brevibacillus_formosus_strain_NF2	30	31.20537709
Brevibacillus_laterosporus_DSM_25_strain_DSM_25	30	36.25207243
Brevundimonas_mediterranea_strain_D15126	30	29.64074454
Brevundimonas_naejangsanensis_strain_B1	30	30.22980594
Carnobacterium_maltaromaticum_LMA28_strain_LMA28	30	30.78283514
Celeribacter_marinus_strain_IMCC12053	30	27.26817977
Chitinophaga_caeni_strain_13	30	28.40060502
Chromobacterium_rhizoryzae_strain_JP274	30	30.04016486
Chryseobacterium_shandongense_strain_G0207	30	28.06956865
Chryseobacterium_taklimakanense_strain_F9257	30	28.86713918
Cloacibacterium_normanense_strain_NRS1	30	28.67480699
Deinococcus_gobiensis_I0_strain_I0	30	35.82185754
Deinococcus_peraridilitoris_DSM_19664_strain_DSM_19664	30	31.1472
Deinococcus_swuensis_strain_DY59	30	35.7160924
Desulfitobacterium_metallireducens_DSM_15288_strain_DSM_15288	30	37.66607143
Desulfovibrio_carbinoliphilus_subsp_oakridgensis_strain_FW1012B	30	33.02619732
Draconibacterium_orientale_strain_Draconibacterium_orientale_type_strain_FH5T	30	29.47360748
Dyella_thiooxydans_strain_ATSB10	30	28.97236878
Flammeovirga_yaeyamensis_strain_NBRC3A100898	30	27.38449137
Flavobacterium_commune_strain_PK15	30	26.59765131
Francisella_marina_strain_E10315	30	22.58212366
Geobacter_daltonii_FRC32_strain_FRC32	30	32.55809399
Geobacter_pickeringii_strain_G13	30	33.39097744
Gordonia_iterans_strain_Co17	30	32.11767873
Gordonia_phthalatica_strain_QH11	30	31.22861035
Gramella_flava_JLT2011_strain_JLT2011	30	28.11661932
Gramella_salexigens_strain_LPB0144	30	28.32831197
Halomonas_huangheensis_strain_BJGMMB45	30	31.30656917
Halomonas_hydrothermalis_strain_Slthf2	30	33.03366142
Halomonas_socia_strain_CKY01	30	31.13378871
Hymenobacter_swuensis_DY53_strain_DY53	30	26.49243421
Janibacter_melonis_strain_M714	30	29.25282526
Lactobacillus_acetotolerans_strain_LA749	30	34.69695017
Lactobacillus_terrae_strain_NIBRBAC000499792	30	31.18078898
Lactococcus_petauri_strain_CF11	30	32.14972222
Leucobacter_denitrificans_strain_KACC_14055	30	29.86931928
Lysinibacillus_parviboronicapiens_strain_VT1065	30	32.04306743
Lysobacter_helvus_strain_JCM32364	30	28.36251161
Lysobacter_maris_strain_HZ9B	30	29.41824478
Lysobacter_soli_strain_XL170	30	29.58366228
Maribacter_dokdonensis_strain_MAR_2009_60	30	26.04257196
Marinobacter_hydrocarbonoclasticus_ATCC_49840_strain_ATCC_49840	30	30.7632772
Martelella_lutilitoris_strain_ZRK001	30	29.3880829
Massilia_armeniaca_strain_ZMN3	30	27.83361185
Massilia_putida_strain_6NM7	30	28.59617595
Mesoplasma_entomophilum_strain_TAC	30	32.25070423
Mesoplasma_lactucae_ATCC_49193_strain_831C4	30	31.03093575
Methylobacterium_brachiatum_strain_TX0642	30	28.49300847
Methylocystis_parvus_strain_BRCS2	30	27.9511562
Methylomonas_koyamae_strain_LM6	30	28.18771151
Methylophaga_nitratireducenticrescens_strain_GP59	30	29.07474678
Microbacterium_lemovicicum_strain_Viu22	30	28.53806763
Microbacterium_oxydans_strain_HG3	30	27.77818302
Microbacterium_wangchenii_strain_dk512	30	29.82436067
Microbulbifer_aggregans_strain_CCBMM1	30	30.88200913
Mycobacterium_stomatepiae_strain_JCM_17783	30	35.0002495
Mycolicibacter_minnesotensis_strain_JCM_17932	30	32.61461039
Mycolicibacterium_aubagnense_strain_JCM_15296	30	32.4707149
Neptunomonas_phycophila_strain_Scap09	30	27.30498282
Niabella_soli_DSM_19437_strain_DSM_19437	30	27.96697861
Nocardioides_aromaticivorans_strain_IC177	30	28.89305556
Nocardioides_ungokensis_strain_LMG_28591	30	29.29740019
Oscillibacter_valericigenes_Sjm1820_strain_Sjm1820	30	41.64201102
Paenibacillus_beijingensis_strain_DSM_24997	30	31.04023297
Paenibacillus_jilunlii_strain_KACC_16679	30	29.90749319
Paenibacillus_sabinae_T27_strain_T27	30	30.76372878
Paenibacillus_sonchi_strain_LMG_24727	30	29.30696481
Paenibacillus_sophorae_strain_DSM_23020	30	30.47415082
Paenibacillus_swuensis_strain_DY6	30	29.47004076
Paenibacillus_terrae_HPL003_strain_HPL003	30	31.54539474
Paenibacillus_tritici_strain_PH551	30	28.01121795
Pandoraea_thiooxydans_strain_ATSB16	30	30.10795045
Paraburkholderia_tropica_strain_IAC135	30	29.52665827
Paracoccus_zhejiangensis_strain_J6	30	28.45139665
Pelagibacterium_halotolerans_strain_ANSP101	30	28.22315556
Phreatobacter_stygius_strain_KCTC_52518	30	28.8567345
Planococcus_plakortidis_strain_DSM_23997	30	30.08533333
Pseudoalteromonas_atlantica_strain_ECSMB14104	30	27.30558511
Pseudoalteromonas_carrageenovora_IAM_12662_strain_ATCC43555T	30	26.13517495
Pseudoalteromonas_espejiana_DSM_9414_strain_DSM_9414	30	26.17139706
Pseudoalteromonas_nigrifaciens_strain_KMM_661	30	24.8876703
Pseudoalteromonas_piscicida_strain_DE1A	30	26.74523481
Pseudoalteromonas_rubra_strain_DSM_6842	30	26.69077213
Pseudoalteromonas_tetraodonis_strain_GFC	30	27.48478836
Pseudodesulfovibrio_piezophilus_C1TLV30_strain_type_strain3A_C1TLV30	30	30.50156538
Pseudomonas_arsenicoxydans_strain_ACM1	30	28.62589847
Pseudomonas_guangdongensis_strain_CCTCC_AB_2012022	30	30.15862188
Pseudomonas_kribbensis_strain_462	30	29.17083333
Pseudomonas_libanensis_strain_DMSP1	30	28.96869748
Pseudomonas_mandelii_JR1_strain_JR1	30	27.68544552
Pseudomonas_monteilii_SB3078_strain_SB3078	30	29.88752277
Pseudomonas_mosselii_strain_BS011	30	30.06168582
Pseudomonas_salegens_strain_CECT_8338	30	28.4006791
Pseudomonas_sihuiensis_strain_KCTC_32246	30	30.42100271
Pseudomonas_simiae_strain_KHfL9	30	29.01758996
Pseudoxanthomonas_suwonensis_111_strain_1Nov	30	29.85609699
Qipengyuania_sediminis_strain_CGMCC_112928	30	31.69262402
Rhodococcus_biphenylivorans_strain_B403	30	32.40646067
Rufibacter_tibetensis_strain_1351	30	27.90742999
